CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
CUST1019,Male,0,Yes,No,8,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,One year,No,Credit card,43.44,Yes,350.4
CUST1020,Female,0,Yes,No,14,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,34.59,No,480.79
CUST1021,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,82.9,No,169.09
CUST1022,Female,1,No,Yes,69,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card,65.05,Yes,4493.76
CUST1023,Female,1,Yes,Yes,16,No,No,No,No,No,No internet service,No,Yes,No,One year,No,Credit card,36.9,No,592.25
CUST1024,Female,1,Yes,Yes,25,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,52.64,No,1310.79
CUST1025,Female,0,Yes,No,20,Yes,No,No,Yes,No,No internet service,No,Yes,No,Two year,No,Electronic check,50.3,No,996.0
CUST1026,Female,1,Yes,Yes,71,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,Yes,Credit card,30.81,Yes,2193.57
CUST1027,Female,0,No,Yes,20,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Bank transfer,74.69,No,1500.25
CUST1028,Female,0,Yes,No,10,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Credit card,96.36,No,967.55
CUST1029,Female,0,No,No,37,Yes,No,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card,77.55,No,2860.88
CUST1030,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,One year,Yes,Credit card,102.63,Yes,7288.43
CUST1031,Male,0,Yes,No,34,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card,32.76,No,1120.26
CUST1032,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,63.56,No,824.07
CUST1033,Female,0,No,No,13,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card,80.94,No,1046.18
CUST1034,Female,0,No,No,9,No,No phone service,DSL,No,No,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,87.6,Yes,790.15
CUST1035,Male,0,Yes,Yes,11,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No,One year,No,Credit card,89.58,No,991.91
CUST1036,Female,0,No,No,37,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Two year,No,Bank transfer,92.9,Yes,3428.28
CUST1037,Male,0,No,Yes,33,Yes,No,No,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer,85.14,No,2811.56
CUST1038,Male,0,Yes,Yes,40,No,No,No,No internet service,No,No,No internet service,No internet service,Yes,One year,Yes,Credit card,29.42,No,1179.66
CUST1039,Male,0,Yes,Yes,9,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card,89.53,Yes,807.82
CUST1040,Male,0,No,Yes,16,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Mailed check,92.48,No,1482.68
CUST1041,Male,0,No,No,16,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,119.35,Yes,1912.23
CUST1042,Female,0,No,No,66,Yes,No phone service,No,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,89.34,No,5889.05
CUST1043,Female,0,Yes,No,61,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,88.68,Yes,5404.18
CUST1044,Female,1,Yes,Yes,0,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,Yes,One year,No,Bank transfer,71.48,Yes,2.38
CUST1045,Female,0,No,Yes,11,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Credit card,106.79,No,1165.04
CUST1046,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card,119.68,No,361.73
CUST1047,Male,0,Yes,No,41,Yes,No,No,No internet service,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,97.9,Yes,4017.21
CUST1048,Female,1,No,Yes,12,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Mailed check,81.25,Yes,969.78
CUST1049,Female,0,No,No,3,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Electronic check,27.9,Yes,85.66
CUST1050,Male,1,Yes,No,68,No,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,92.67,No,6302.24
CUST1051,Female,0,Yes,No,18,Yes,No,No,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,90.86,No,1630.69
CUST1052,Male,1,No,No,1,Yes,No,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,97.56,No,96.82
CUST1053,Female,0,Yes,Yes,11,Yes,No phone service,No,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card,32.46,No,365.25
CUST1054,Male,1,Yes,No,5,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,85.37,Yes,425.38
CUST1055,Female,0,No,Yes,7,Yes,Yes,No,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Mailed check,49.57,No,349.59
CUST1056,Female,0,No,No,50,Yes,No,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,96.03,Yes,4792.21
CUST1057,Male,0,Yes,Yes,10,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,44.04,No,431.96
CUST1058,Male,0,Yes,Yes,62,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Credit card,88.4,No,5472.43
CUST1059,Male,0,Yes,No,56,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card,49.5,No,2777.56
CUST1060,Male,1,No,No,11,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,No,Electronic check,20.9,Yes,226.91
CUST1061,Male,1,Yes,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,83.34,Yes,77.89
CUST1062,Male,0,Yes,Yes,7,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card,31.33,No,224.26
CUST1063,Male,0,No,No,10,Yes,No,DSL,Yes,No internet service,Yes,No,No,No,Two year,Yes,Bank transfer,85.93,No,852.7
CUST1064,Male,0,No,No,52,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,112.56,Yes,5848.05
CUST1065,Female,0,Yes,Yes,9,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,One year,Yes,Credit card,116.92,Yes,1050.9
CUST1066,Female,0,No,No,7,Yes,No phone service,No,No,No,Yes,No,Yes,No,Two year,No,Electronic check,43.59,No,301.76
CUST1067,Male,0,No,Yes,35,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card,100.93,No,3534.26
CUST1068,Female,0,Yes,No,13,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,55.36,No,716.44
CUST1069,Female,0,No,Yes,53,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Credit card,110.05,Yes,5830.51
CUST1070,Female,0,No,Yes,20,Yes,No,No,Yes,No internet service,No,No internet service,No,Yes,Two year,Yes,Electronic check,98.75,No,1982.26
CUST1071,Female,0,Yes,No,49,Yes,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,27.39,Yes,1349.8
CUST1072,Male,0,No,Yes,38,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,60.71,No,2313.53
CUST1073,Female,0,Yes,No,19,Yes,Yes,No,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Bank transfer,53.73,Yes,1028.17
CUST1074,Male,1,Yes,No,6,No,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,98.52,Yes,592.51
CUST1075,Female,0,No,Yes,8,Yes,No,No,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,61.03,Yes,491.16
CUST1076,Female,0,No,No,0,Yes,No,No,No internet service,No,Yes,Yes,No internet service,Yes,Two year,No,Credit card,88.46,No,1.14
CUST1077,Female,0,No,Yes,25,Yes,Yes,No,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Electronic check,80.24,No,2011.71
CUST1078,Male,0,Yes,Yes,37,Yes,Yes,No,No,No,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,117.56,No,4350.74
CUST1079,Female,1,No,Yes,37,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,113.78,No,4202.08
CUST1080,Male,0,Yes,Yes,60,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,62.77,No,3772.39
CUST1081,Female,0,No,Yes,43,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer,92.36,No,3976.69
CUST1082,Male,0,No,Yes,43,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,No,Two year,No,Credit card,102.95,No,4433.26
CUST1083,Female,1,No,Yes,61,Yes,No,No,Yes,No internet service,No,No internet service,No,No,Two year,No,Electronic check,109.89,No,6697.1
CUST1084,Male,1,Yes,Yes,5,Yes,No,No,No internet service,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,26.81,Yes,129.48
CUST1085,Male,0,No,No,16,Yes,No,DSL,No,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer,50.21,No,799.28
CUST1086,Female,0,No,No,50,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card,52.02,Yes,2601.16
CUST1087,Male,0,Yes,Yes,37,Yes,Yes,No,No internet service,No,No,No internet service,No,No internet service,One year,No,Bank transfer,63.44,No,2339.96
CUST1088,Female,1,Yes,No,23,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,No,Credit card,36.93,No,847.1
CUST1089,Female,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,One year,Yes,Bank transfer,69.62,No,3474.64
CUST1090,Female,1,No,No,9,Yes,Yes,No,Yes,Yes,No internet service,No,No,No,Two year,No,Credit card,86.32,No,772.18
CUST1091,Female,0,No,No,71,Yes,No,No,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer,69.74,Yes,4955.67
CUST1092,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer,86.58,No,1738.7
CUST1093,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,26.64,No,1828.62
CUST1094,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card,107.6,Yes,6026.92
CUST1095,Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,Yes,One year,No,Credit card,113.91,No,4319.3
CUST1096,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.79,Yes,2608.98
CUST1097,Female,0,Yes,No,58,Yes,No,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,Two year,No,Electronic check,108.14,No,6276.22
CUST1098,Female,0,Yes,No,17,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,One year,Yes,Bank transfer,33.14,No,568.09
CUST1099,Male,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Bank transfer,99.74,No,5491.98
CUST1100,Male,0,No,Yes,56,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,31.91,Yes,1786.44
CUST1101,Female,1,No,Yes,47,Yes,No phone service,DSL,No,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,60.8,Yes,2864.8
CUST1102,Female,1,Yes,Yes,41,No,No,DSL,No internet service,No,No internet service,No,No internet service,Yes,Two year,No,Bank transfer,52.38,Yes,2140.92
CUST1103,Female,1,Yes,No,26,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,One year,No,Electronic check,78.56,Yes,2037.55
CUST1104,Female,1,No,Yes,51,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer,50.15,No,2550.34
CUST1105,Female,0,No,Yes,41,Yes,No phone service,No,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,83.73,No,3438.88
CUST1106,Female,0,No,Yes,31,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,No,Credit card,56.74,No,1753.51
CUST1107,Female,0,No,Yes,25,Yes,No,No,No internet service,Yes,No,No,No,No internet service,Two year,No,Mailed check,106.08,No,2645.11
CUST1108,Female,0,No,No,24,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,One year,No,Bank transfer,83.39,Yes,2003.82
CUST1109,Male,0,No,Yes,22,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,41.53,No,905.2
CUST1110,Female,0,No,No,56,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,53.61,Yes,2993.06
CUST1111,Male,0,No,Yes,51,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Two year,Yes,Credit card,104.74,No,5333.87
CUST1112,Female,0,Yes,No,30,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card,58.65,Yes,1749.5
CUST1113,Female,0,Yes,No,63,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer,73.58,No,4639.48
CUST1114,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,One year,No,Electronic check,84.89,Yes,5943.54
CUST1115,Female,0,Yes,Yes,32,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,54.78,No,1747.16
CUST1116,Male,0,Yes,Yes,1,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Two year,No,Mailed check,49.4,No,44.06
CUST1117,Female,1,Yes,Yes,17,Yes,Yes,No,No,No,No,Yes,No internet service,Yes,One year,No,Credit card,67.53,No,1154.23
CUST1118,Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,One year,No,Mailed check,41.49,No,1908.58
CUST1119,Male,0,No,No,32,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,48.42,No,1553.41
CUST1120,Female,1,Yes,Yes,34,Yes,No,DSL,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,26.21,No,890.2
CUST1121,Male,1,Yes,Yes,50,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer,50.4,No,2514.75
CUST1122,Female,1,No,No,17,Yes,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.07,Yes,894.6
CUST1123,Male,0,No,Yes,71,Yes,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,116.18,No,8250.09
CUST1124,Male,0,No,No,29,Yes,No phone service,No,No internet service,No,Yes,Yes,No,Yes,One year,No,Electronic check,78.97,No,2282.75
CUST1125,Female,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Credit card,98.74,No,4243.94
CUST1126,Female,0,No,No,52,No,Yes,No,No internet service,No,No,No internet service,No,No,One year,No,Electronic check,24.54,No,1272.67
CUST1127,Male,0,Yes,No,9,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer,30.65,No,270.13
CUST1128,Female,0,Yes,No,51,Yes,No phone service,DSL,No,No internet service,No,Yes,No,No,One year,Yes,Mailed check,101.45,Yes,5182.62
CUST1129,Female,0,No,No,48,No,No,No,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer,82.35,Yes,3960.42
CUST1130,Female,0,No,No,10,Yes,No phone service,DSL,No internet service,No,No,Yes,No,No,One year,No,Bank transfer,39.1,No,384.98
CUST1131,Male,0,Yes,Yes,65,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer,60.48,No,3928.24
CUST1132,Male,0,No,No,57,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,73.87,Yes,4215.84
CUST1133,Male,0,No,Yes,35,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,104.36,Yes,3646.77
CUST1134,Male,0,Yes,No,32,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card,26.04,No,835.11
CUST1135,Male,0,No,No,46,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No,One year,No,Credit card,79.67,Yes,3668.82
CUST1136,Male,1,Yes,Yes,12,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,91.7,No,1103.48
CUST1137,Male,0,Yes,Yes,39,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Credit card,117.79,Yes,4597.94
CUST1138,Male,0,No,Yes,67,Yes,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Electronic check,100.72,Yes,6752.37
CUST1139,Male,0,Yes,Yes,41,Yes,No,No,Yes,No internet service,No internet service,No,No,Yes,One year,No,Credit card,47.62,No,1961.72
CUST1140,Female,0,Yes,No,18,Yes,Yes,No,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer,90.96,No,1634.21
CUST1141,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card,96.33,No,1741.51
CUST1142,Female,0,No,No,57,Yes,No,DSL,No,Yes,Yes,No internet service,No,No,One year,Yes,Electronic check,92.97,No,5289.73
CUST1143,Female,0,No,Yes,22,Yes,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,102.01,No,2239.98
CUST1144,Female,0,Yes,Yes,53,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,No internet service,Two year,No,Electronic check,110.37,No,5840.58
CUST1145,Male,1,Yes,No,64,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,Yes,Bank transfer,29.84,No,1912.78
CUST1146,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,30.48,No,327.3
CUST1147,Male,0,Yes,Yes,23,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer,99.64,No,2298.63
CUST1148,Male,1,No,No,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,45.24,No,1495.85
CUST1149,Female,1,No,No,52,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,Yes,One year,Yes,Bank transfer,25.85,No,1334.78
CUST1150,Male,0,Yes,No,7,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer,60.12,No,425.14
CUST1151,Male,0,No,No,17,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,No,Bank transfer,101.99,No,1741.07
CUST1152,Male,0,Yes,No,56,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card,32.66,No,1832.18
CUST1153,Male,0,Yes,No,4,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,87.18,Yes,339.33
CUST1154,Male,0,No,No,25,Yes,No,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Bank transfer,20.36,No,516.16
CUST1155,Female,0,Yes,No,29,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Two year,No,Electronic check,30.97,Yes,902.78
CUST1156,Male,0,No,Yes,53,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card,55.09,Yes,2917.34
CUST1157,Female,1,Yes,No,12,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,No internet service,One year,Yes,Mailed check,28.36,No,336.89
CUST1158,Male,1,Yes,Yes,28,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,104.59,No,2928.12
CUST1159,Female,0,Yes,No,2,Yes,No phone service,No,Yes,No,No,No internet service,Yes,Yes,One year,No,Electronic check,106.41,No,220.16
CUST1160,Male,0,No,No,57,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No,Two year,Yes,Credit card,95.56,No,5441.96
CUST1161,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Two year,No,Bank transfer,44.25,No,36.27
CUST1162,Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Two year,No,Electronic check,72.32,Yes,1959.93
CUST1163,Female,0,Yes,Yes,1,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,38.42,Yes,28.95
CUST1164,Female,0,Yes,Yes,6,Yes,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card,48.13,No,297.0
CUST1165,Male,0,No,No,25,No,No phone service,No,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Bank transfer,71.6,No,1786.11
CUST1166,Female,0,No,Yes,15,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,93.5,No,1402.66
CUST1167,Male,0,No,No,22,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,29.47,Yes,640.99
CUST1168,Male,0,No,No,39,No,Yes,No,No internet service,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card,49.67,Yes,1945.18
CUST1169,Female,0,No,Yes,59,Yes,No,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,112.66,Yes,6651.94
CUST1170,Female,0,Yes,Yes,31,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,No,Two year,No,Bank transfer,62.91,No,1958.69
CUST1171,Male,1,Yes,No,14,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,113.89,Yes,1598.12
CUST1172,Male,0,No,No,12,Yes,No phone service,No,No,No internet service,No,Yes,No,No,Two year,Yes,Electronic check,119.14,No,1423.37
CUST1173,Female,0,Yes,Yes,4,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,No,Electronic check,72.67,No,286.85
CUST1174,Female,0,Yes,No,51,Yes,No,No,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Bank transfer,48.8,No,2488.54
CUST1175,Female,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No,Yes,No,No internet service,Two year,No,Bank transfer,99.08,Yes,3965.35
CUST1176,Male,0,No,No,52,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.93,Yes,1876.89
